Valor nulo: -9999.9		
Fecha (GMT)	Temperatura del Agua(ºC)	Canal de obtencion de los datos
2010 02 06 00	13.4	2
2010 02 06 01	13.4	2
2010 02 06 02	13.4	2
2010 02 06 03	13.4	2
2010 02 06 04	13.4	2
2010 02 06 05	13.4	2
2010 02 06 06	13.4	2
2010 02 06 07	13.4	2
2010 02 06 08	13.4	2
2010 02 06 09	13.4	2
2010 02 06 10	13.4	2
2010 02 06 11	13.4	2
2010 02 06 12	13.4	2
2010 02 06 13	13.4	2
2010 02 06 14	13.4	2
2010 02 06 15	13.4	2
2010 02 06 16	13.4	2
2010 02 06 17	13.4	2
2010 02 06 18	13.4	2
2010 02 06 19	13.4	2
2010 02 06 20	13.0	2
2010 02 06 21	13.3	2
2010 02 06 22	13.2	2
2010 02 06 23	13.0	2
2010 02 07 00	12.9	2
2010 02 07 01	12.9	2
2010 02 07 02	12.9	2
2010 02 07 03	13.0	2
2010 02 07 04	13.1	2
2010 02 07 05	13.2	2
2010 02 07 06	13.4	2
2010 02 07 07	13.4	2
2010 02 07 08	13.4	2
2010 02 07 09	13.4	2
2010 02 07 10	13.4	2
2010 02 07 11	13.3	2
2010 02 07 12	13.3	2
2010 02 07 13	13.3	2
2010 02 07 14	13.3	2
2010 02 07 15	13.2	2
2010 02 07 16	13.2	2
2010 02 07 17	13.2	2
2010 02 07 18	13.2	2
2010 02 07 19	13.3	2
2010 02 07 20	13.4	2
